Date,Close
11/19/2015 23:58:00,454.097675
11/20/2015 23:58:00,445.5607114
11/22/2015 23:58:00,447.8676756
11/23/2015 23:58:00,449.365998
11/24/2015 23:58:00,442.422744
11/25/2015 23:58:00,453.5650549
11/26/2015 23:58:00,488.5946791
11/27/2015 23:58:00,498.2125602
11/30/2015 23:58:00,521.2444875
12/1/2015 23:58:00,495.3965804
12/2/2015 23:58:00,493.06932
12/3/2015 23:58:00,493.8164117
12/4/2015 23:58:00,496.3384151
12/7/2015 23:58:00,543.9746498
12/8/2015 23:58:00,580.0400254
12/9/2015 23:58:00,578.4777289
12/10/2015 23:58:00,571.7350012
12/11/2015 23:58:00,630.6563264
12/14/2015 23:58:00,612.1739033
12/15/2015 23:58:00,644.872887
12/16/2015 23:58:00,630.0763122
12/17/2015 23:58:00,639.3876275
12/18/2015 23:58:00,645.9378083
12/21/2015 23:58:00,606.9418164
12/22/2015 23:58:00,600.1825228
12/23/2015 23:58:00,611.9359937
12/24/2015 23:58:00,626.9637967
12/25/2015 23:58:00,626.1536758
12/28/2015 23:58:00,581.664965
12/29/2015 23:58:00,595.3074933
12/30/2015 23:58:00,587.7623641
12/31/2015 23:58:00,591.9610569
1/1/2016 23:58:00,598.1873196
1/3/2016 23:58:00,592.8267087
1/4/2016 23:58:00,603.9951237
1/5/2016 23:58:00,605.138943
1/6/2016 23:58:00,608.9171174
1/7/2016 23:58:00,654.2812542
1/8/2016 23:58:00,653.7951025
1/10/2016 23:58:00,648.521988
1/11/2016 23:58:00,643.0684894
1/12/2016 23:58:00,621.5235864
1/13/2016 23:58:00,624.1361335
1/14/2016 23:58:00,614.94333
1/15/2016 23:58:00,521.332727
1/17/2016 23:58:00,551.9320609
1/18/2016 23:58:00,559.839825
1/19/2016 23:58:00,542.8464432
1/20/2016 23:58:00,603.6924695
1/21/2016 23:58:00,583.7443577
1/22/2016 23:58:00,546.8903265
1/23/2016 23:58:00,553.4131625
1/24/2016 23:58:00,575.6537442
1/25/2016 23:58:00,564.3021242
1/26/2016 23:58:00,559.1030668
